Fund Holdings as of,"11/Aug/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"TREL B","TRELLEBORG B","Industrials","Equity","2’218’879.33","0.36","2’218’879.33","55’951.00","39.66","Sweden","Nasdaq Omx Nordic","SEK"
"TIGO","MILLICOM INTERNATIONAL CELLULAR","Communication","Equity","2’193’284.99","0.36","2’193’284.99","26’640.00","82.33","Sweden","NASDAQ","USD"
"QIA","QIAGEN","Health Care","Equity","2’190’428.08","0.36","2’190’428.08","59’081.00","37.08","Germany","Deutsche Boerse Xetra","EUR"
"TEL","TELENOR","Communication","Equity","2’180’421.94","0.36","2’180’421.94","179’020.00","12.18","Norway","Oslo Bors Asa","NOK"
"TEN","TENARIS SA","Energy","Equity","2’171’749.47","0.36","2’171’749.47","93’489.00","23.23","Italy","Borsa Italiana","EUR"
"CON","CONTINENTAL AG","Consumer Discretionary","Equity","2’170’456.36","0.36","2’170’456.36","31’529.00","68.84","Germany","Xetra","EUR"
"COLO B","COLOPLAST B","Health Care","Equity","2’170’410.72","0.36","2’170’410.72","36’843.00","58.91","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SDLF","STANDARD LIFE PLC","Financials","Equity","2’164’157.32","0.35","2’164’157.32","205’010.00","10.56","United Kingdom","London Stock Exchange","GBP"
"MRO","MELROSE INDUSTRIES PLC","Industrials","Equity","2’091’429.71","0.34","2’091’429.71","366’649.00","5.70","United Kingdom","London Stock Exchange","GBP"
"BNR","BRENNTAG","Industrials","Equity","2’069’812.50","0.34","2’069’812.50","33’117.00","62.50","Germany","Xetra","EUR"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Health Care","Equity","2’059’452.13","0.34","2’059’452.13","51’225.00","40.20","Sweden","Nasdaq Omx Nordic","SEK"
"SBRY","SAINSBURY(J) PLC","Consumer Staples","Equity","2’008’639.21","0.33","2’008’639.21","498’202.00","4.03","United Kingdom","London Stock Exchange","GBP"
"TLX","TALANX AG","Financials","Equity","1’980’408.00","0.32","1’980’408.00","17’372.00","114.00","Germany","Xetra","EUR"
"ORK","ORKLA","Consumer Staples","Equity","1’971’597.40","0.32","1’971’597.40","208’147.00","9.47","Norway","Oslo Bors Asa","NOK"
"ABF","ASSOCIATED BRITISH FOODS PLC","Consumer Staples","Equity","1’965’495.18","0.32","1’965’495.18","81’015.00","24.26","United Kingdom","London Stock Exchange","GBP"
"PSON","PEARSON PLC","Consumer Discretionary","Equity","1’943’826.96","0.32","1’943’826.96","138’008.00","14.08","United Kingdom","London Stock Exchange","GBP"
"KBX","KNORR BREMSE AG","Industrials","Equity","1’932’403.20","0.32","1’932’403.20","18’816.00","102.70","Germany","Xetra","EUR"
"ABVX","ABIVAX SA","Health Care","Equity","1’922’800.00","0.32","1’922’800.00","17’480.00","110.00","France","Nyse Euronext - Euronext Paris","EUR"
"HOT","HOCHTIEF AG","Industrials","Equity","1’906’412.80","0.31","1’906’412.80","4’286.00","444.80","Germany","Xetra","EUR"
"SECU B","SECURITAS B","Industrials","Equity","1’860’427.78","0.31","1’860’427.78","137’639.00","13.52","Sweden","Nasdaq Omx Nordic","SEK"
"FRES","FRESNILLO PLC","Materials","Equity","1’857’926.36","0.30","1’857’926.36","53’851.00","34.50","United Kingdom","London Stock Exchange","GBP"
"KGF","KINGFISHER PLC","Consumer Discretionary","Equity","1’842’484.56","0.30","1’842’484.56","487’108.00","3.78","United Kingdom","London Stock Exchange","GBP"
"EXO","EXOR NV","Financials","Equity","1’834’498.00","0.30","1’834’498.00","25’838.00","71.00","Netherlands","Euronext Amsterdam","EUR"
"SPX","SPIRAX GROUP PLC","Industrials","Equity","1’790’137.82","0.29","1’790’137.82","21’171.00","84.56","United Kingdom","London Stock Exchange","GBP"
"LIFCO B","LIFCO CLASS B","Industrials","Equity","1’789’997.26","0.29","1’789’997.26","60’768.00","29.46","Sweden","Nasdaq Omx Nordic","SEK"
"YAR","YARA INTERNATIONAL","Materials","Equity","1’781’904.80","0.29","1’781’904.80","46’284.00","38.50","Norway","Oslo Bors Asa","NOK"
"DHER","DELIVERY HERO","Consumer Discretionary","Equity","1’777’204.44","0.29","1’777’204.44","47’916.00","37.09","Germany","Xetra","EUR"
"TRYG","TRYG","Financials","Equity","1’775’422.22","0.29","1’775’422.22","87’667.00","20.25","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"LAND","LAND SECURITIES GROUP REIT PLC","Real Estate","Equity","1’755’587.41","0.29","1’755’587.41","213’687.00","8.22","United Kingdom","London Stock Exchange","GBP"
"IAG","INTERNATIONAL AIRLINES GROUP SA","Industrials","Equity","1’738’653.29","0.29","1’738’653.29","337’865.00","5.15","Spain","Bolsa De Madrid","EUR"
"SRT3","SARTORIUS PREF AG","Health Care","Equity","1’729’343.10","0.28","1’729’343.10","7’257.00","238.30","Germany","Xetra","EUR"
"EMSN","EMS-CHEMIE HOLDING AG","Materials","Equity","1’720’666.72","0.28","1’720’666.72","2’004.00","858.61","Switzerland","SIX Swiss Exchange","CHF"
"INDT","INDUTRADE","Industrials","Equity","1’712’018.55","0.28","1’712’018.55","78’383.00","21.84","Sweden","Nasdaq Omx Nordic","SEK"
"SCA B","SVENSKA CELLULOSA B","Materials","Equity","1’699’591.07","0.28","1’699’591.07","170’487.00","9.97","Sweden","Nasdaq Omx Nordic","SEK"
"AMUN","AMUNDI SA","Financials","Equity","1’697’473.60","0.28","1’697’473.60","17’756.00","95.60","France","Nyse Euronext - Euronext Paris","EUR"
"UHR","THE SWATCH GROUP AG","Consumer Discretionary","Equity","1’687’378.38","0.28","1’687’378.38","8’150.00","207.04","Switzerland","SIX Swiss Exchange","CHF"
"KESKOB","KESKO CLASS B","Consumer Staples","Equity","1’671’860.96","0.27","1’671’860.96","78’344.00","21.34","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"ELI","ELIA GROUP SA","Utilities","Equity","1’669’792.80","0.27","1’669’792.80","12’766.00","130.80","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"SYENS","SYENSQO NV","Materials","Equity","1’661’042.70","0.27","1’661’042.70","20’331.00","81.70","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"ALO","ALSTOM SA","Industrials","Equity","1’628’155.62","0.27","1’628’155.62","99’399.00","16.38","France","Nyse Euronext - Euronext Paris","EUR"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Equity","1’613’798.40","0.26","1’613’798.40","21’013.00","76.80","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"HAG","HENSOLDT AG","Industrials","Equity","1’591’895.00","0.26","1’591’895.00","17’590.00","90.50","Germany","Xetra","EUR"
"REC","RECORDATI INDUSTRIA CHIMICA E FARM","Health Care","Equity","1’580’683.80","0.26","1’580’683.80","29’994.00","52.70","Italy","Borsa Italiana","EUR"
"G24","SCOUT24 N","Communication","Equity","1’575’217.00","0.26","1’575’217.00","20’524.00","76.75","Germany","Xetra","EUR"
"SDR","SCHRODERS PLC","Financials","Equity","1’574’776.46","0.26","1’574’776.46","231’002.00","6.82","United Kingdom","London Stock Exchange","GBP"
"IG","ITALGAS","Utilities","Equity","1’561’617.31","0.26","1’561’617.31","178’389.00","8.75","Italy","Borsa Italiana","EUR"
"BEIJ B","BEIJER REF CLASS B","Industrials","Equity","1’553’816.13","0.25","1’553’816.13","124’794.00","12.45","Sweden","Nasdaq Omx Nordic","SEK"
"AM","DASSAULT AVIATION SA","Industrials","Equity","1’553’239.60","0.25","1’553’239.60","4’906.00","316.60","France","Nyse Euronext - Euronext Paris","EUR"
"STERV","STORA ENSO CLASS R","Materials","Equity","1’547’415.65","0.25","1’547’415.65","160’487.00","9.64","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"IPN","IPSEN SA","Health Care","Equity","1’527’426.60","0.25","1’527’426.60","9’829.00","155.40","France","Nyse Euronext - Euronext Paris","EUR"
"ANA","ACCIONA","Utilities","Equity","1’525’847.60","0.25","1’525’847.60","7’211.00","211.60","Spain","Bolsa De Madrid","EUR"
"RNO","RENAULT SA","Consumer Discretionary","Equity","1’522’209.44","0.25","1’522’209.44","53’336.00","28.54","France","Nyse Euronext - Euronext Paris","EUR"
"INDU A","INDUSTRIVARDEN A","Financials","Equity","1’503’518.74","0.25","1’503’518.74","30’150.00","49.87","Sweden","Nasdaq Omx Nordic","SEK"
"ZAL","ZALANDO","Consumer Discretionary","Equity","1’491’714.18","0.24","1’491’714.18","61’974.00","24.07","Germany","Xetra","EUR"
